repo,issue,issue_url,comment_url,status,title
mattschaller/slopcheck,4,https://github.com/mattschaller/slopcheck/issues/4,https://github.com/mattschaller/slopcheck/issues/4#issuecomment-4062410688,success,Add ESLint plugin interface
nateschmiedehaus/LiBrainian,292,https://github.com/nateschmiedehaus/LiBrainian/issues/292,https://github.com/nateschmiedehaus/LiBrainian/issues/292#issuecomment-4062411850,success,VerificationOracle anti-hallucination
nateschmiedehaus/LiBrainian,666,https://github.com/nateschmiedehaus/LiBrainian/issues/666,https://github.com/nateschmiedehaus/LiBrainian/issues/666#issuecomment-4062412940,success,API Surface Index hallucinated packages
promptdriven/pdd,494,https://github.com/promptdriven/pdd/issues/494,https://github.com/promptdriven/pdd/issues/494#issuecomment-4062413999,success,pdd sync silently runs pip install
promptdriven/pdd,427,https://github.com/promptdriven/pdd/issues/427,https://github.com/promptdriven/pdd/issues/427#issuecomment-4062415037,success,Code generation ignores interface contracts
mmnto-ai/totem,42,https://github.com/mmnto-ai/totem/issues/42,https://github.com/mmnto-ai/totem/issues/42#issuecomment-4062416095,success,Epic: Solve Universal AI DevEx Friction
cursor/mcp-servers,324,https://github.com/cursor/mcp-servers/issues/324,https://github.com/cursor/mcp-servers/issues/324#issuecomment-4062417231,success,[Server Request]: agent-guardrail
cursor/mcp-servers,283,https://github.com/cursor/mcp-servers/issues/283,https://github.com/cursor/mcp-servers/issues/283#issuecomment-4062418372,success,[Server Request]: Rigour
Z-M-Huang/vcp,25,https://github.com/Z-M-Huang/vcp/issues/25,https://github.com/Z-M-Huang/vcp/issues/25#issuecomment-4062419428,success,[Standard] Conformance model
vercel-labs/skills,501,https://github.com/vercel-labs/skills/issues/501,https://github.com/vercel-labs/skills/issues/501#issuecomment-4062420515,success,Deprecation and Yanking lifecycle awareness
vercel-labs/skills,617,https://github.com/vercel-labs/skills/issues/617,https://github.com/vercel-labs/skills/issues/617#issuecomment-4062421658,success,[RFC] Skill Signature Verification on Install
ForgeCalendar/Forge,33,https://github.com/ForgeCalendar/Forge/issues/33,https://github.com/ForgeCalendar/Forge/issues/33#issuecomment-4062422809,success,Code Review Problems
